date,time,home_team,away_team,venue,stadium_details
20250503,10:00 am,Manchester City,Wolverhampton,Etihad Stadium,Manchester
20250503,10:00 am,West Ham United,Tottenham Hotspur,London Stadium,London
20250503,10:00 am,Crystal Palace,Nottingham Forest,Selhurst Park,London
20250503,10:00 am,Brighton & Hove Albion,Newcastle United,American Express Community Stadium,Brighton
20250503,10:00 am,Brentford,Manchester United,Gtech Community Stadium,London
20250510,10:00 am,Ipswich Town,Brentford,Portman Road,Ipswich
20250510,10:00 am,Liverpool,Arsenal,Anfield,Liverpool
20250510,10:00 am,Manchester United,West Ham United,Old Trafford,Manchester
20250510,10:00 am,Newcastle United,Chelsea,St. James' Park,Newcastle upon Tyne
20250510,10:00 am,Southampton,Manchester City,St. Mary's Stadium,Southampton
20250510,10:00 am,Tottenham Hotspur,Crystal Palace,Tottenham Hotspur Stadium,London
20250510,10:00 am,Nottingham Forest,Leicester City,The City Ground,Nottingham
20250510,10:00 am,Fulham,Everton,Craven Cottage,London
20250510,10:00 am,Wolverhampton,Brighton & Hove Albion,Molineux,Wolverhampton
20250510,10:00 am,Bournemouth,Aston Villa,Vitality Stadium,Bournemouth
20250518,10:00 am,Arsenal,Newcastle United,Emirates Stadium,London
20250518,10:00 am,Aston Villa,Tottenham Hotspur,Villa Park,Birmingham
20250518,10:00 am,Chelsea,Manchester United,Stamford Bridge,London
20250518,10:00 am,Everton,Southampton,Goodison Park,Liverpool
20250518,10:00 am,Leicester City,Ipswich Town,King Power Stadium,Leicester
20250518,10:00 am,Manchester City,Bournemouth,Etihad Stadium,Manchester
20250518,10:00 am,West Ham United,Nottingham Forest,London Stadium,London
20250518,10:00 am,Crystal Palace,Wolverhampton,Selhurst Park,London
20250518,10:00 am,Brighton & Hove Albion,Liverpool,American Express Community Stadium,Brighton
20250518,10:00 am,Brentford,Fulham,Gtech Community Stadium,London
20250525,11:00 am,Ipswich Town,West Ham United,Portman Road,Ipswich
20250525,11:00 am,Liverpool,Crystal Palace,Anfield,Liverpool
20250525,11:00 am,Manchester United,Aston Villa,Old Trafford,Manchester
20250525,11:00 am,Newcastle United,Everton,St. James' Park,Newcastle upon Tyne
20250525,11:00 am,Southampton,Arsenal,St. Mary's Stadium,Southampton
20250525,11:00 am,Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur Stadium,London
20250525,11:00 am,Nottingham Forest,Chelsea,The City Ground,Nottingham
20250525,11:00 am,Fulham,Manchester City,Craven Cottage,London
20250525,11:00 am,Wolverhampton,Brentford,Molineux,Wolverhampton
20250525,11:00 am,Bournemouth,Leicester City,Vitality Stadium,Bournemouth
